Concept,Layer,Seed,Method,Train ACC,Test ACC
Curvature,Lin1,5,CAR,1.0,0.99
Curvature,Lin1,5,CAV,0.9825,0.97
Curvature,Lin2,5,CAR,1.0,0.99
Curvature,Lin2,5,CAV,0.9775,0.98
Curvature,Conv1,6,CAR,0.9925,0.98
Curvature,Conv1,6,CAV,0.9975,0.94
Curvature,Conv2,6,CAR,1.0,1.0
Curvature,Conv2,6,CAV,1.0,0.98
Curvature,Lin1,6,CAR,0.9975,0.99
Curvature,Lin1,6,CAV,0.99,0.98
Curvature,Lin2,6,CAR,0.9975,0.98
Curvature,Lin2,6,CAV,0.995,0.98
Curvature,Conv1,7,CAR,0.995,0.95
Curvature,Conv1,7,CAV,1.0,0.98
Curvature,Conv2,7,CAR,1.0,0.98
Curvature,Conv2,7,CAV,1.0,0.98
Curvature,Lin1,7,CAR,1.0,0.99
Curvature,Lin1,7,CAV,0.9825,0.96
Curvature,Lin2,7,CAR,1.0,0.99
Curvature,Lin2,7,CAV,0.9825,0.97
Curvature,Conv1,8,CAR,0.995,0.96
Curvature,Conv1,8,CAV,0.9975,0.94
Curvature,Conv2,8,CAR,1.0,0.98
Curvature,Conv2,8,CAV,1.0,0.99
Curvature,Lin1,8,CAR,0.9975,1.0
Curvature,Lin1,8,CAV,0.995,0.98
Curvature,Lin2,8,CAR,0.9975,1.0
Curvature,Lin2,8,CAV,0.9925,0.97
Curvature,Conv1,9,CAR,0.995,0.98
Curvature,Conv1,9,CAV,1.0,0.95
Curvature,Conv2,9,CAR,0.9975,0.99
Curvature,Conv2,9,CAV,1.0,0.99
Curvature,Lin1,9,CAR,0.995,1.0
Curvature,Lin1,9,CAV,0.9775,0.96
Curvature,Lin2,9,CAR,0.995,1.0
Curvature,Lin2,9,CAV,0.98,0.97
Curvature,Conv1,10,CAR,0.995,0.97
Curvature,Conv1,10,CAV,1.0,0.93
Curvature,Conv2,10,CAR,1.0,1.0
Curvature,Conv2,10,CAV,1.0,0.98
Curvature,Lin1,10,CAR,0.9975,1.0
Curvature,Lin1,10,CAV,0.9875,0.99
Curvature,Lin2,10,CAR,0.9975,1.0
Curvature,Lin2,10,CAV,0.9925,0.99
