Concept,Layer,Seed,Method,Train ACC,Test ACC
Curvature,tqlayer_n,1,CAR,0.7875,0.83
Curvature,tqlayer_n,1,CAV,0.7475,0.76
Curvature,tqlayer_n_remain,1,CAR,0.8725,0.86
Curvature,tqlayer_n_remain,1,CAV,0.755,0.79
Curvature,out,1,CAR,0.865,0.88
Curvature,out,1,CAV,0.805,0.84
Curvature,adaptive_pool,2,CAR,0.8725,0.84
Curvature,adaptive_pool,2,CAV,0.78,0.77
Curvature,tqlayer_n,2,CAR,0.8275,0.81
Curvature,tqlayer_n,2,CAV,0.765,0.72
Curvature,tqlayer_n_remain,2,CAR,0.8825,0.87
Curvature,tqlayer_n_remain,2,CAV,0.8175,0.8
Curvature,out,2,CAR,0.885,0.88
Curvature,out,2,CAV,0.8375,0.86
Curvature,adaptive_pool,3,CAR,0.8875,0.9
Curvature,adaptive_pool,3,CAV,0.795,0.83
Curvature,tqlayer_n,3,CAR,0.81,0.81
Curvature,tqlayer_n,3,CAV,0.765,0.76
Curvature,tqlayer_n_remain,3,CAR,0.86,0.89
Curvature,tqlayer_n_remain,3,CAV,0.7825,0.76
Curvature,out,3,CAR,0.8525,0.88
Curvature,out,3,CAV,0.81,0.81
Curvature,adaptive_pool,4,CAR,0.8725,0.81
Curvature,adaptive_pool,4,CAV,0.79,0.71
Curvature,tqlayer_n,4,CAR,0.82,0.75
Curvature,tqlayer_n,4,CAV,0.7575,0.71
Curvature,tqlayer_n_remain,4,CAR,0.8675,0.82
Curvature,tqlayer_n_remain,4,CAV,0.7525,0.72
Curvature,out,4,CAR,0.8725,0.83
Curvature,out,4,CAV,0.79,0.8
Curvature,adaptive_pool,5,CAR,0.85,0.85
Curvature,adaptive_pool,5,CAV,0.7575,0.8
Curvature,tqlayer_n,5,CAR,0.785,0.79
Curvature,tqlayer_n,5,CAV,0.7375,0.78
Curvature,tqlayer_n_remain,5,CAR,0.8675,0.9
Curvature,tqlayer_n_remain,5,CAV,0.7525,0.83
Curvature,out,5,CAR,0.8675,0.91
Curvature,out,5,CAV,0.8225,0.83
Curvature,adaptive_pool,6,CAR,0.8675,0.83
Curvature,adaptive_pool,6,CAV,0.77,0.77
Curvature,tqlayer_n,6,CAR,0.815,0.79
Curvature,tqlayer_n,6,CAV,0.75,0.75
Curvature,tqlayer_n_remain,6,CAR,0.875,0.86
Curvature,tqlayer_n_remain,6,CAV,0.765,0.76
Curvature,out,6,CAR,0.875,0.84
Curvature,out,6,CAV,0.815,0.79
Curvature,adaptive_pool,7,CAR,0.9,0.88
Curvature,adaptive_pool,7,CAV,0.805,0.86
Curvature,tqlayer_n,7,CAR,0.835,0.85
Curvature,tqlayer_n,7,CAV,0.7525,0.84
Curvature,tqlayer_n_remain,7,CAR,0.875,0.87
Curvature,tqlayer_n_remain,7,CAV,0.7725,0.79
Curvature,out,7,CAR,0.885,0.85
Curvature,out,7,CAV,0.825,0.8
Curvature,adaptive_pool,8,CAR,0.875,0.87
Curvature,adaptive_pool,8,CAV,0.785,0.82
Curvature,tqlayer_n,8,CAR,0.83,0.82
Curvature,tqlayer_n,8,CAV,0.75,0.8
Curvature,tqlayer_n_remain,8,CAR,0.875,0.88
Curvature,tqlayer_n_remain,8,CAV,0.7475,0.83
Curvature,out,8,CAR,0.8675,0.89
Curvature,out,8,CAV,0.81,0.84
Curvature,adaptive_pool,9,CAR,0.855,0.82
Curvature,adaptive_pool,9,CAV,0.745,0.74
Curvature,tqlayer_n,9,CAR,0.78,0.73
Curvature,tqlayer_n,9,CAV,0.73,0.68
Curvature,tqlayer_n_remain,9,CAR,0.8525,0.8
Curvature,tqlayer_n_remain,9,CAV,0.7675,0.78
Curvature,out,9,CAR,0.8625,0.82
Curvature,out,9,CAV,0.7925,0.78
Curvature,adaptive_pool,10,CAR,0.88,0.88
Curvature,adaptive_pool,10,CAV,0.815,0.75
Curvature,tqlayer_n,10,CAR,0.8275,0.78
Curvature,tqlayer_n,10,CAV,0.775,0.7
Curvature,tqlayer_n_remain,10,CAR,0.86,0.82
Curvature,tqlayer_n_remain,10,CAV,0.7775,0.75
Curvature,out,10,CAR,0.8625,0.83
Curvature,out,10,CAV,0.8225,0.82
