Set,Concept,Seed,Kernel,Accuracy
Training,Curvature,1,Polynomial,0.985
Validation,Curvature,1,Polynomial,0.99
Training,Curvature,1,Sigmoid,0.925
Validation,Curvature,1,Sigmoid,0.94
Training,Curvature,1,Matern,1.0
Validation,Curvature,1,Matern,0.72
Training,Curvature,2,Gaussian RBF,0.9925
Validation,Curvature,2,Gaussian RBF,0.98
Training,Curvature,2,Linear,0.99
Validation,Curvature,2,Linear,0.98
Training,Curvature,2,Polynomial,0.9825
Validation,Curvature,2,Polynomial,0.99
Training,Curvature,2,Sigmoid,0.9275
Validation,Curvature,2,Sigmoid,0.93
Training,Curvature,2,Matern,1.0
Validation,Curvature,2,Matern,0.74
Training,Curvature,3,Gaussian RBF,0.995
Validation,Curvature,3,Gaussian RBF,0.99
Training,Curvature,3,Linear,0.99
Validation,Curvature,3,Linear,0.97
Training,Curvature,3,Polynomial,0.98
Validation,Curvature,3,Polynomial,0.92
Training,Curvature,3,Sigmoid,0.9375
Validation,Curvature,3,Sigmoid,0.89
Training,Curvature,3,Matern,1.0
Validation,Curvature,3,Matern,0.69
Training,Curvature,4,Gaussian RBF,0.9925
Validation,Curvature,4,Gaussian RBF,1.0
Training,Curvature,4,Linear,0.9825
Validation,Curvature,4,Linear,0.99
Training,Curvature,4,Polynomial,0.9875
Validation,Curvature,4,Polynomial,0.99
Training,Curvature,4,Sigmoid,0.94
Validation,Curvature,4,Sigmoid,0.95
Training,Curvature,4,Matern,1.0
Validation,Curvature,4,Matern,0.73
Training,Curvature,5,Gaussian RBF,1.0
Validation,Curvature,5,Gaussian RBF,0.99
Training,Curvature,5,Linear,0.99
Validation,Curvature,5,Linear,0.98
Training,Curvature,5,Polynomial,0.985
Validation,Curvature,5,Polynomial,0.99
Training,Curvature,5,Sigmoid,0.955
Validation,Curvature,5,Sigmoid,0.92
Training,Curvature,5,Matern,1.0
Validation,Curvature,5,Matern,0.74
Training,Curvature,6,Gaussian RBF,0.995
Validation,Curvature,6,Gaussian RBF,0.99
Training,Curvature,6,Linear,0.99
Validation,Curvature,6,Linear,0.99
Training,Curvature,6,Polynomial,0.985
Validation,Curvature,6,Polynomial,1.0
Training,Curvature,6,Sigmoid,0.9425
Validation,Curvature,6,Sigmoid,0.9
Training,Curvature,6,Matern,1.0
Validation,Curvature,6,Matern,0.77
Training,Curvature,7,Gaussian RBF,0.99
Validation,Curvature,7,Gaussian RBF,0.99
Training,Curvature,7,Linear,0.98
Validation,Curvature,7,Linear,1.0
Training,Curvature,7,Polynomial,0.9775
Validation,Curvature,7,Polynomial,0.98
Training,Curvature,7,Sigmoid,0.925
Validation,Curvature,7,Sigmoid,0.91
Training,Curvature,7,Matern,1.0
Validation,Curvature,7,Matern,0.67
Training,Curvature,8,Gaussian RBF,0.99
Validation,Curvature,8,Gaussian RBF,1.0
Training,Curvature,8,Linear,0.9875
Validation,Curvature,8,Linear,0.99
Training,Curvature,8,Polynomial,0.9825
Validation,Curvature,8,Polynomial,0.99
Training,Curvature,8,Sigmoid,0.9225
Validation,Curvature,8,Sigmoid,0.96
Training,Curvature,8,Matern,1.0
Validation,Curvature,8,Matern,0.8
Training,Curvature,9,Gaussian RBF,0.9975
Validation,Curvature,9,Gaussian RBF,1.0
Training,Curvature,9,Linear,1.0
Validation,Curvature,9,Linear,0.99
Training,Curvature,9,Polynomial,0.9925
Validation,Curvature,9,Polynomial,0.99
Training,Curvature,9,Sigmoid,0.9425
Validation,Curvature,9,Sigmoid,0.91
Training,Curvature,9,Matern,1.0
Validation,Curvature,9,Matern,0.76
Training,Curvature,10,Gaussian RBF,0.9925
Validation,Curvature,10,Gaussian RBF,0.98
Training,Curvature,10,Linear,0.985
Validation,Curvature,10,Linear,0.99
Training,Curvature,10,Polynomial,0.9875
Validation,Curvature,10,Polynomial,0.99
Training,Curvature,10,Sigmoid,0.9525
Validation,Curvature,10,Sigmoid,0.93
Training,Curvature,10,Matern,1.0
Validation,Curvature,10,Matern,0.74
