Concept Sets Size,Random Seed,Concept,Test Accuracy
280,2,Curvature,0.9964349376114082
10,3,Curvature,0.9523809523809523
40,3,Curvature,0.9753086419753086
70,3,Curvature,0.9858156028368794
100,3,Curvature,0.9900497512437811
130,3,Curvature,0.9923371647509579
160,3,Curvature,0.9937694704049844
190,3,Curvature,0.994750656167979
220,3,Curvature,0.9954648526077098
250,3,Curvature,0.9960079840319361
280,3,Curvature,0.9964349376114082
10,4,Curvature,0.9523809523809523
40,4,Curvature,0.9753086419753086
70,4,Curvature,0.9858156028368794
100,4,Curvature,0.9900497512437811
130,4,Curvature,0.9923371647509579
160,4,Curvature,0.9937694704049844
190,4,Curvature,0.994750656167979
220,4,Curvature,0.9954648526077098
250,4,Curvature,0.9960079840319361
280,4,Curvature,0.9964349376114082
10,5,Curvature,0.9523809523809523
40,5,Curvature,0.9876543209876543
70,5,Curvature,0.9929078014184397
100,5,Curvature,0.9950248756218906
130,5,Curvature,0.9961685823754789
160,5,Curvature,0.9968847352024922
190,5,Curvature,0.9973753280839895
220,5,Curvature,0.9931972789115646
250,5,Curvature,0.9940119760479041
280,5,Curvature,0.9946524064171123
10,6,Curvature,0.9523809523809523
40,6,Curvature,0.9876543209876543
70,6,Curvature,0.9929078014184397
100,6,Curvature,0.9900497512437811
130,6,Curvature,0.9923371647509579
160,6,Curvature,0.9937694704049844
190,6,Curvature,0.994750656167979
220,6,Curvature,0.9954648526077098
250,6,Curvature,0.9960079840319361
280,6,Curvature,0.9964349376114082
10,7,Curvature,0.9523809523809523
40,7,Curvature,0.9876543209876543
70,7,Curvature,0.9929078014184397
100,7,Curvature,0.9950248756218906
130,7,Curvature,0.9961685823754789
160,7,Curvature,0.9968847352024922
190,7,Curvature,0.994750656167979
220,7,Curvature,0.9954648526077098
250,7,Curvature,0.9960079840319361
280,7,Curvature,0.9964349376114082
10,8,Curvature,0.9523809523809523
40,8,Curvature,0.9753086419753086
70,8,Curvature,0.9858156028368794
100,8,Curvature,0.9900497512437811
130,8,Curvature,0.9923371647509579
160,8,Curvature,0.9937694704049844
190,8,Curvature,0.9921259842519685
220,8,Curvature,0.9931972789115646
250,8,Curvature,0.9940119760479041
280,8,Curvature,0.9946524064171123
10,9,Curvature,0.9523809523809523
40,9,Curvature,0.9753086419753086
70,9,Curvature,0.9858156028368794
100,9,Curvature,0.9850746268656716
130,9,Curvature,0.9885057471264368
160,9,Curvature,0.9906542056074766
190,9,Curvature,0.9921259842519685
220,9,Curvature,0.9931972789115646
250,9,Curvature,0.9940119760479041
280,9,Curvature,0.9946524064171123
10,10,Curvature,0.9523809523809523
40,10,Curvature,0.9876543209876543
70,10,Curvature,0.9929078014184397
100,10,Curvature,0.9950248756218906
130,10,Curvature,0.9923371647509579
160,10,Curvature,0.9937694704049844
190,10,Curvature,0.994750656167979
220,10,Curvature,0.9977324263038548
250,10,Curvature,0.998003992015968
280,10,Curvature,0.9982174688057041
