Set,Concept,Seed,Kernel,Accuracy
Validation,Curvature,6,Sigmoid,0.81
Training,Curvature,6,Matern,0.83
Validation,Curvature,6,Matern,0.84
Training,Curvature,7,Gaussian RBF,0.8675
Validation,Curvature,7,Gaussian RBF,0.84
Training,Curvature,7,Linear,0.8475
Validation,Curvature,7,Linear,0.84
Training,Curvature,7,Polynomial,0.87
Validation,Curvature,7,Polynomial,0.86
Training,Curvature,7,Sigmoid,0.8225
Validation,Curvature,7,Sigmoid,0.82
Training,Curvature,7,Matern,0.8725
Validation,Curvature,7,Matern,0.84
Training,Curvature,8,Gaussian RBF,0.8075
Validation,Curvature,8,Gaussian RBF,0.86
Training,Curvature,8,Linear,0.8025
Validation,Curvature,8,Linear,0.85
Training,Curvature,8,Polynomial,0.81
Validation,Curvature,8,Polynomial,0.86
Training,Curvature,8,Sigmoid,0.795
Validation,Curvature,8,Sigmoid,0.84
Training,Curvature,8,Matern,0.8225
Validation,Curvature,8,Matern,0.88
Training,Curvature,9,Gaussian RBF,0.835
Validation,Curvature,9,Gaussian RBF,0.89
Training,Curvature,9,Linear,0.815
Validation,Curvature,9,Linear,0.86
Training,Curvature,9,Polynomial,0.845
Validation,Curvature,9,Polynomial,0.89
Training,Curvature,9,Sigmoid,0.8025
Validation,Curvature,9,Sigmoid,0.85
Training,Curvature,9,Matern,0.845
Validation,Curvature,9,Matern,0.89
Training,Curvature,10,Gaussian RBF,0.8225
Validation,Curvature,10,Gaussian RBF,0.87
Training,Curvature,10,Linear,0.8075
Validation,Curvature,10,Linear,0.86
Training,Curvature,10,Polynomial,0.8425
Validation,Curvature,10,Polynomial,0.87
Training,Curvature,10,Sigmoid,0.7925
Validation,Curvature,10,Sigmoid,0.84
Training,Curvature,10,Matern,0.8275
Validation,Curvature,10,Matern,0.87
